Աֆրիկա	África
Ռեզերֆորդիում	Rutherfordio
Նևադա	Nevada
Դոն (գետ)	Río Don
Դուբնիում	Dubnio
Սիբորգիում	Seaborgio
Ջուզեպե Սարագատ	Giuseppe Saragat
Հնդկական օվկիանոս	Océano Índico
Կոսովո	Kosovo
Կարիբյան ծով	Mar Caribe
Բորիում	Bohrio
Հասիում	Hassio
Բան Կի Մուն	Ban Ki-moon
Քոֆի Անան	Kofi Annan
Լիգուրիա	Liguria
Բուտրոս Բուտրոս-Ղալի	Butros Butros-Ghali
Մայտներիում	Meitnerio
Կուրտ Վալդհայմ	Kurt Waldheim
Կոլորադո	Colorado
Կոլորադո (գետ)	Río Colorado
Դարմշտադիում	Darmstadio
Դագ Համարշոլդ	Dag Hammarskjöld
Ֆրեդերիկ Շոպեն	Frédéric Chopin
Ռենտգենիում	Roentgenio
Գեդվին Ջեբ	Gladwyn Jebb
Լեոնարդ Քոհեն	Leonard Cohen
Կատեգորիա:Հիմնական	Categoría:Índice de categorías
Լացիո	Lacio
Աբրուցցո	Abruzos
Ալպեր	Alpes
Կարպատներ	Montes Cárpatos
Գրենոբլ	Grenoble
Բլեզ Պասկալ	Blaise Pascal
Դորտմունդ	Dortmund
Գենտ	Gante
Չիկագո	Chicago
The Beatles	The Beatles
Վախենինգեն (Նիդերլանդներ)	Wageningen
Մաստրիխտ	Maastricht
Արնհեմ	Arnhem
Ձմեռ	Invierno
Գարուն	Primavera
Ամառ	Verano
Աշուն	Otoño
Գիշերահավասար	Equinoccio
Սադդամ Հուսեյն	Sadam Husein
Ուսամա բեն Լադեն	Osama bin Laden
Իսպաներեն	Idioma español
Ֆրիդրիխ ֆոն Հայեկ	Friedrich Hayek
Մոնտևիդեո	Montevideo
Յոհան Սեբաստիան Բախ	Johann Sebastian Bach
Անտոնիո Վիվալդի	Antonio Vivaldi
Օպերա	Ópera
Ֆիլադելֆիա	Filadelfia
Կալկաթա	Calcuta
Չեննայ	Chennai
Դելի	Delhi
Դաքքա	Daca
Սարդեր	Araneae
Սարդակերպեր	Arachnida
Հոդվածոտանիներ	Arthropoda
Իսլամաբադ	Islamabad
Պտուղ	Fruto
Կապիկներ	Mono
Փող	Dinero
Վիրջինիա	Virginia
Արևմտյան Վիրջինիա	Virginia Occidental
Հուրոն լիճ	Lago Hurón
Նյու Յորք (նահանգ)	Nueva York (estado)
Ցերիում	Cerio
Պրազեդիում	Praseodimio
Ռոդ Այլենդ	Rhode Island
Նեոդիմ	Neodimio
Միջատներ	Insecta
Մերիլենդ	Maryland
Դելավեր	Delaware
Վլադիմիր Լենին	Lenin
Եվրոպիում	Europio
Օհայո	Ohio
Վերգիլիոս	Virgilio
Նիկոլո Մաքիավելի	Nicolás Maquiavelo
Փենսիլվանիա	Pensilvania
Ֆրանչեսկո Պետրարկա	Petrarca
Ջովաննի Բոկաչչո	Giovanni Boccaccio
Ուետերսեն	Uetersen
Օկտավիանոս Օգոստոս	César Augusto
Մայքրոսոֆթ Վինդոուզ	Microsoft Windows
Տիբերիոս	Tiberio
Նյու Ջերսի	Nueva Jersey
Կալիգուլա	Calígula
Ջիբրալթար	Gibraltar
Կլավդիոս	Claudio
Ֆիններեն	Idioma finés
Ներոն	Nerón
Գալբա	Galba
Ինդիանա	Indiana
Օտոն	Otón
Վիտելլիոս	Vitelio
Վեսպասիանոս	Tito Flavio Vespasiano
Ավտոմեքենա	Automóvil
Տիտոս	Tito
Յուվենտուս	Juventus de Turín
Դոմիցիանոս	Domiciano
Ներվա	Nerva
Տրայանոս	Trajano
Ռոջեր Ֆեդերեր	Roger Federer
Հադրիանոս	Adriano
Ջորջիա	Georgia (Estados Unidos)
Անտոնինոս Պիոս	Antonino Pío
Մարկոս Ավրելիոս	Marco Aurelio
Լուցիոս Վերոս	Lucio Vero
Կոմմոդոս	Cómodo
Զագրեբ	Zagreb
Պերտինաքս	Pertinax
Տեխաս	Texas
Դիդիուս Հուլիանուս	Didio Juliano
Սեպտիմիոս Սևերոս	Septimio Severo
Մոլիզե	Molise
Թամիլ Նադու	Tamil Nadu
Կարակալլա	Caracalla
Ջենովա	Génova
Բրունո Մարս	Bruno Mars
Ալեքսանդրա Ստան	Alexandra Stan
Հյուսիսային Կարոլինա	Carolina del Norte
Մականախաղ	Hockey sobre césped
Հարավային Կարոլինա	Carolina del Sur
Սամպդորիա (Ֆուտբոլային ակումբ)	Unione Calcio Sampdoria
Կալաբրիա	Calabria
Լայնականջ ոզնի	Hemiechinus auritus
Սիցիլիա (մարզ)	Sicilia
Մանիլա	Manila
Սարդինիա	Cerdeña
Ֆերդինանդ Մարկոս	Ferdinand Marcos
Լուար (գետ)	Río Loira
Սեն (գետ)	Río Sena
Բորդո	Burdeos
Կորասոն Ակինո	Corazón Aquino
Բուենոս Այրես	Buenos Aires
Մեխիկո	México, D. F.
Տոկիո	Tokio
Լա Պաս	La Paz
Բարսելոնա	Barcelona
Միսսիսիպի	Misisipi
Ֆերնան Մագելան	Fernando de Magallanes
Միսիսիպի գետ	Río Misisipi
Ավազան (ճարտարապետական)	Piscina
Թենեսի	Tennessee
Ռիխարդ Վագներ	Richard Wagner
Ռոբերտ Լուիս Սթիվենսոն	Robert Louis Stevenson
Ջենիս Ջոպլին	Janis Joplin
Աբիջան	Abiyán
Աբու Դաբի	Abu Dabi
Աստանա	Astaná
Նյու Մեքսիկո	Nuevo México
Ռամզես II	Ramsés II
Աթենք	Atenas
Մինեսոտա	Minnesota
Բաղդադ	Bagdad
Կարակաս	Caracas
Համաշխարհային կոորդինացված ժամանակ	Tiempo universal coordinado
Վիսկոնսին	Wisconsin
Կիկերոն	Marco Tulio Cicerón
Միլան (ֆուտբոլային ակումբ)	Associazione Calcio Milan
Այովա	Iowa
Նեբրասկա	Nebraska
Կանզաս	Kansas
Հավանա	La Habana
Հինդի	Hindi
Ինտերնետ Էքսպլորեր	Internet Explorer
Սիգար	Puro
Ծխախոտ	Cigarrillo
Միսսուրի	Misuri
Գեորգ Օհմ	Georg Simon Ohm
Լուիզիանա	Luisiana
Կենտուկի	Kentucky
Արկանզաս (նահանգ)	Arkansas
Նիլ Արմստրոնգ	Neil Armstrong
Էդիթ Պիաֆ	Édith Piaf
Էլբա	Río Elba
Ֆրանսուազ Սագան	Françoise Sagan
Էմս	Río Ems
Օկլահոմա	Oklahoma
Դանուբ	Danubio
Բանաստեղծություն	Verso
Սպլիտ (քաղաք)	Split
Ժակ Բրել	Jacques Brel
Մոզել (գետ)	Río Mosela
Մայն	Meno
Աարե (գետ)	Río Aar
Ջեյսոն Ռիչարդսոն	Jason Richardson
Հյուսիսային ծով	Mar del Norte
Սկագերակ	Skagerrak
Մոսկվայի մարզ	Óblast de Moscú
Քիլ	Kiel
Շվերին	Schwerin
Պոտսդամ	Potsdam
Հաննովեր	Hannover
Դյուսելդորֆ	Düsseldorf
Մայնց	Maguncia
Վիսբադեն	Wiesbaden
Սաարբրյուքեն	Sarrebruck
Մյունխեն	Múnich
Սամարայի մարզ	Óblast de Samara
Էրֆուրտ	Érfurt
Դրեզդեն	Dresde
Մագդեբուրգ	Magdeburgo
Վոլեյբոլ	Voleibol
Ինսբրուք	Innsbruck
Վիեննա	Viena
Մադոննա	Madonna
Կոպենհագեն	Copenhague
Կալինինգրադի մարզ	Óblast de Kaliningrado
Ստոկհոլմ	Estocolmo
Հելսինկի	Helsinki
Մուրմանսկի մարզ	Óblast de Múrmansk
Դուբլին	Dublín
Մուրմանսկ	Múrmansk
Ռեյկյավիկ	Reikiavik
Էլլա Ֆիցջերալդ	Ella Fitzgerald
Ալեքսանդր Սևերոս	Alejandro Severo
Տալլին	Tallin
Տապանագիր	Epitafio
Ռիգա	Riga
Մակսիմինոս Թրակիացի	Maximino el Tracio
Լուի Արմսթրոնգ	Louis Armstrong
Բրատիսլավա	Bratislava
Բուդապեշտ	Budapest
Հորդիանոս I (Աֆրիկացի)	Gordiano I
Շառլ Ազնավուր	Charles Aznavour
Գդանսկ	Gdansk
Մայնի Ֆրանկֆուրտ	Fráncfort del Meno
Վրոցլավ	Breslavia
Լանթան	Lantano
Պրոմեթիում	Prometio
Աստղագիտական միավոր	Unidad astronómica
Սամարիում	Samario
Կալինինգրադ	Kaliningrado
Գադոլինիում	Gadolinio
Մահվան տետրը	Death Note
Զինեդին Զիդան	Zinedine Zidane
Տերբիում	Terbio
Կաթոլիկություն	Catolicismo
Լյուքսեմբուրգ (քաղաք)	Luxemburgo (ciudad)
Դիսպրոզիում	Disprosio
Վադուց	Vaduz
Աստվածաշունչ	Biblia
Հոլմիում	Holmio
Սան Մարինո (քաղաք)	San Marino (ciudad)
Էրբիում	Erbio
Պնոմպեն	Nom Pen
Արխանգելսկ	Arcángel (Rusia)
Թուլիում	Tulio
Հոշիմին	Ciudad Ho Chi Minh
Իտերբիում	Iterbio
Լուտեցիում	Lutecio
Հանոյ	Hanói
Հիսուսի ճշմարիտ եկեղեցի	Verdadera Iglesia de Jesús
Անգլերեն	Idioma inglés
Բանգկոկ	Bangkok
Անդորրա լա Վելյա	Andorra la Vieja
Կուալա Լումպուր	Kuala Lumpur
Թայբեյ	Taipéi
Ամերիցիում	Americio
Օդեսա	Odesa
Արխանգելսկի մարզ	Óblast de Arcángel
Կյուրիում	Curio
Դոնգհոյ	Đồng Hới
Կոնսեպսիոն (քաղաք Չիլիում)	Concepción (Chile)
Բերկլիում	Berkelio
Ատալանտա (ֆուտբոլային ակումբ)	Atalanta Bergamasca Calcio
Կալիֆոռնիում	Californio
Դիվանագիտություն	Diplomacia
Բոլոնիա	Bolonia
Էյնշտեյնիում	Einstenio
Բոլոնիա (ֆուտբոլային ակումբ)	Bologna Football Club 1909
Ֆերմիում	Fermio
Կալյարի	Cagliari
Մենդելեևիում	Mendelevio
Կիև	Kiev
Կալյարի ՖԱ	Cagliari Calcio
Նոբելիում	Nobelio
Կատանիա	Catania
Օնտարիո (նահանգ)	Ontario
Լոուրենսիում	Lawrencio
Հուգո Լյորիս	Hugo Lloris
Մաթյո Դեբյուշի	Mathieu Debuchy
Ադիլ Ռամի	Adil Rami
Օլիվիե Ժիրու	Olivier Giroud
Կարիմ Բենզեմա	Karim Benzema
Ֆլորան Մալուդա	Florent Malouda
Կարելիայի Հանրապետություն	República de Carelia
Պատրիս Էվրա	Patrice Evra
Ֆիլիպ Մեքսես	Philippe Mexès
Ֆրանկ Ռիբերի	Franck Ribéry
Մաթյո Վալբուենա	Mathieu Valbuena
Սամիր Նասրի	Samir Nasri
Բլեյզ Մատուիդի	Blaise Matuidi
Ժերեմի Մենեզ	Jérémy Ménez
Օտտավա	Ottawa
Աբու Դիաբի	Abou Diaby
Յուպիտերի արբանյակներ	Satélites de Júpiter
Մանիտոբա (նահանգ)	Manitoba
Ալբերտա	Alberta
Նոր Շոտլանդիա	Nueva Escocia
Երևան	Ereván
Վոլոգդա	Vólogda
Քոնսքօուօլա	Końskowola
Խարթում	Jartum
Նյու Բրանսուիկ	Nuevo Brunswick
Ֆորմուլա 1	Fórmula 1
Սատուրնի արբանյակներ	Satélites de Saturno
Բրիտանական Կոլումբիա	Columbia Británica
Էդուարդ արքայազնի կղզի	Isla del Príncipe Eduardo
Ստադ դե Ժերլան	Estadio Gerland
2000	2000
2003	2003
2002	2002
2001	2001
Սասկաչևան (նահանգ)	Saskatchewan
2012	2012
Մասաշի Քիշիմոտո	Masashi Kishimoto
2011	2011
2010	2010
2009	2009
Ածխաթթու գազ	Dióxido de carbono
2013	2013
2014	2014
2015	2015
Նյուֆաունդլենդ և Լաբրադոր	Terranova y Labrador
2008	2008
ՋավաՍկրիպտ	JavaScript
Հյուսիսարևմտյան տարածքներ	Territorios del Noroeste
Յուկոն (Կանադայի տարածք)	Yukón
2004	2004
Վոլոգդայի մարզ	Óblast de Vólogda
Վիքիճամփորդություն	Wikitravel
Կատանիա ՖԱ	Calcio Catania
2005	2005
2006	2006
Նունավուտ	Nunavut
2007	2007
Ածխածնի մոնօքսիդ	Monóxido de carbono
Վերոնա	Verona
1900	1900
1901	1901
Կիևո ՖԱ	Associazione Calcio ChievoVerona
Տիտոս Լիվիոս	Tito Livio
Շառլ դը Գոլ	Charles de Gaulle
1902	1902
Ֆլորենցիա	Florencia
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
Ֆիորենտինա	Associazione Calcio Firenze Fiorentina
Լուցիուս Աննեուս Սենեկա	Séneca
1908	1908
1909	1909
1992	1992
1991	1991
JSON	JSON
1990	1990
1993	1993
Էսսեն	Essen
1994	1994
1995	1995
1996	1996
Դեյվիդ Լինչ	David Lynch
Կոմի Հանրապետություն	Komi
Ջենոա	Genoa Cricket & Football Club
1910	1910
1911	1911
1912	1912
Scalable Vector Graphics	Scalable Vector Graphics
Լայպցիգ (քաղաք)	Leipzig
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Նյուրնբերգ	Núremberg
1999	1999
1917	1917
1918	1918
Սննդամթերք	Alimento
Էդմոնտոն	Edmonton
Վալերիուս Մարցիալիս	Marco Valerio Marcial
Դույսբուրգ	Duisburgo
Օձեր	Serpentes
Բոխում	Bochum
Ժակ Շիրակ	Jacques Chirac
Վուպերտալ	Wuppertal
Արիկա և Պարինակոտա	Región de Arica y Parinacota
Լույսի արագություն	Velocidad de la luz
Բիլեֆելդ	Bielefeld
Տարապակա (տարածաշրջան)	Región de Tarapacá
XML	Extensible Markup Language
Անտոֆագաստա (տարածաշրջան)	Región de Antofagasta
Մանհայմ	Mannheim
Ատակամա (տարածաշրջան)	Región de Atacama
Կոկիմբո (տարածաշրջան)	Región de Coquimbo
Նեյտրինո	Neutrino
ԽՍՀՄ Մինիստրների խորհուրդ	Consejo de Ministros de la Unión Soviética
Սանտյագոյի մայրաքաղաքային տարածաշրջան	Región Metropolitana de Santiago
Վիկտորիա (քաղաք, Կանադա)	Victoria (Columbia Británica)
Օ'Հիգինս (տարածաշրջան)	Región del Libertador General Bernardo O'Higgins
Վիննիպեգ (քաղաք)	Winnipeg
Նեպտունի արբանյակներ	Satélites de Neptuno
Հունվարի 1	1 de enero
Հունվարի 2	2 de enero
Ուրանի արբանյակներ	Satélites de Urano
1920	1920
Հունվարի 3	3 de enero
1919	1919
Կոռնելիոս Տակիտոս	Tácito
1921	1921
Նենեցյան ինքնավար օկրուգ	Nenetsia
1922	1922
Մաուլե (տարածաշրջան)	Región del Maule
Հունվարի 4	4 de enero
1923	1923
Բիոբիո (տարածաշրջան)	Región del Bío-Bío
Լենս Արմսթրոնգ	Lance Armstrong
1924	1924
Նարյան Մար	Narian-Mar
Արուկանիա (տարածաշրջան)	Región de la Araucanía
Լոս Ռիոս (տարածաշրջան)	Región de Los Ríos
Լոս Լագոս (տարածաշրջան)	Región de Los Lagos
Այսեն (տարածաշրջան)	Región Aysén del General Carlos Ibáñez del Campo
Քյուերպեդիա	QRpedia
Ռուսաստանի Խորհրդային Ֆեդերատիվ Սոցիալիստական Հանրապետություն	República Socialista Federativa Soviética de Rusia
Ժորժ Պոմպիդու	Georges Pompidou
Մագալանես և Չիլիական Անտարկտիկա	Región de Magallanes y de la Antártica Chilena
Լենինգրադի մարզ	Óblast de Leningrado
Windows Media Audio	Windows Media Audio
Հռոմուլոս և Հռեմոս	Rómulo y Remo
Գաճաճ մոլորակ	Planeta enano
Հունվարի 5	5 de enero
Արիկա	Arica
Մալմյո	Malmö
Պսկով	Pskov
Աթաբասկա (գետ)	Río Athabasca
Պսկովի մարզ	Óblast de Pskov
Հունվարի 6	6 de enero
Էլեկտրոն	Electrón
Հունվարի 7	7 de enero
Հունվարի 8	8 de enero
Մեծ Նովգորոդ	Nóvgorod
Հունվարի 9	9 de enero
Նովգորոդի մարզ	Óblast de Nóvgorod
Հունվարի 10	10 de enero
Նիժնի Նովգորոդի մարզ	Óblast de Nizhni Nóvgorod
Հունվարի 11	11 de enero
Հունվարի 12	12 de enero
Լիարդ	Río Liard
Կոլումբիա (գետ)	Río Columbia
Հունվարի 13	13 de enero
Բիրմինգհեմ	Birmingham
Հունվարի 14	14 de enero
Հունվարի 15	15 de enero
Հունվարի 16	16 de enero
Թոմ Հենքս	Tom Hanks
Հունվարի 17	17 de enero
Հունվարի 18	18 de enero
Հունվարի 19	19 de enero
Հունվարի 20	20 de enero
Արդյունաբերական հեղափոխություն	Revolución Industrial
Բենզոլ	Benceno
Հունվարի 21	21 de enero
Հունվարի 22	22 de enero
Հունվարի 23	23 de enero
Հռոմեական կայսրություն	Imperio romano
Հունվարի 24	24 de enero
Հունվարի 25	25 de enero
Մինսկ	Minsk
Հունվարի 26	26 de enero
Մայքրոսոֆթ	Microsoft
Հունվարի 27	27 de enero
Հունվարի 28	28 de enero
Հունվարի 29	29 de enero
Հունվարի 30	30 de enero
Տվեր	Tver
Հունվարի 31	31 de enero
Տվերի մարզ	Óblast de Tver
Պրոտոն	Protón
Դեկտեմբերի 2	2 de diciembre
Դեկտեմբերի 1	1 de diciembre
Դեկտեմբերի 3	3 de diciembre
Դեկտեմբերի 7	7 de diciembre
Դեկտեմբերի 5	5 de diciembre
Դեկտեմբերի 8	8 de diciembre
Դեկտեմբերի 10	10 de diciembre
Դեկտեմբերի 6	6 de diciembre
Դեկտեմբերի 9	9 de diciembre
Փինք Ֆլոյդ	Pink Floyd
Կոռնելիոս Սկիպիոն Էմիլիանոս Աֆրիկացի կրտսեր	Publio Cornelio Escipión Emiliano
Դեկտեմբերի 4	4 de diciembre
Փետրվարի 1	1 de febrero
Փետրվարի 2	2 de febrero
Նատրիումի քլորիդ	Cloruro de sodio
Փետրվարի 3	3 de febrero
Կուրուվ	Kurów
Փետրվարի 4	4 de febrero
Փետրվարի 5	5 de febrero
Փետրվարի 6	6 de febrero
Փետրվարի 7	7 de febrero
Փետրվարի 8	8 de febrero
Փետրվարի 9	9 de febrero
Փետրվարի 10	10 de febrero
Քիմիա	Química
Լեդ Զեփելին	Led Zeppelin
Փետրվարի 14	14 de febrero
Փետրվարի 13	13 de febrero
Փետրվարի 15	15 de febrero
Փետրվարի 11	11 de febrero
Փետրվարի 12	12 de febrero
Սմոլենսկ	Smolensk
Ռոբին վան Պերսի	Robin van Persie
Փետրվարի 19	19 de febrero
Փետրվարի 17	17 de febrero
Փետրվարի 16	16 de febrero
Փետրվարի 18	18 de febrero
Փետրվարի 20	20 de febrero
12 զայրացած տղամարդ (ֆիլմ, 1957)	12 Angry Men (película de 1957)
Վերլուծական քիմիա	Química analítica
Սմոլենսկի մարզ	Óblast de Smolensk
Նեյտրոն	Neutrón
Փետրվարի 21	21 de febrero
Փետրվարի 22	22 de febrero
Փետրվարի 23	23 de febrero
Փետրվարի 24	24 de febrero
Փետրվարի 25	25 de febrero
Փետրվարի 26	26 de febrero
27	27
Փետրվարի 27	27 de febrero
Փետրվարի 28	28 de febrero
Դեկտեմբերի 11	11 de diciembre
Փետրվարի 29	29 de febrero
Դեկտեմբերի 12	12 de diciembre
Visual Basic	Visual Basic
Դեկտեմբերի 13	13 de diciembre
Դեկտեմբերի 14	14 de diciembre
Դեկտեմբերի 15	15 de diciembre
Մարտի 2	2 de marzo
Մարտի 3	3 de marzo
Մարտի 5	5 de marzo
Մարտի 1	1 de marzo
Մարտի 7	7 de marzo
Մարտի 8	8 de marzo
Մարտի 4	4 de marzo
Մարտի 10	10 de marzo
Մարտի 11	11 de marzo
Մարտի 6	6 de marzo
Մարտի 13	13 de marzo
Մարտի 9	9 de marzo
